source_key,content_hash,bytes
ad25fa2a044800cb,0e5f40dfb5508acb38b1c89f8837d7e9,5533
47a9d20c76622624,2698eba2b7a2467cea2143e13514b344,3033
8650fd9ab4d125fc,c26ec8c82d2bb3053c7724922be7a9ff,983
37cfcd91702f004a,19033a09174dbd555a4b8814a42b3beb,1641
664ec12fa4a39770,843e6fdf47937b4d38aa4359c06489b6,6155
afce31bf83db37df,f06e2d432c5f3db11e41b437c07cddd2,3714
bfbd1528515bbce7,b0fb223b1c7e7c8d19a3fafd609fee0b,2951
4cdbfd40ba6aab3f,df4b9277dde2fd75e82fca2c40bc1054,5269
3a4b1c2ec1ba108c,87df9274e040d9384b4665adefc13dc4,4142
e5af1422ae270b5b,04340d2dac69bd14ebc95c7a5bedc3ef,2765
34c640a8a904570b,54d5615592a3aba74c215e658993a8e5,5133
8fe34f66d0910534,5c78b677f0672ba97fcbbcb54f52ae8e,9384
b76eff05842b5537,823bb3e9bc005ecff6d8188ef1df7c6f,3548
53930bf5be922f30,87909e82d471c299bbad351d76c559c4,2365
9d4084d737042d63,27c8b3d060aaa93e90a451a48d65441d,6210
8ad14c45484e32c6,1a393ab58e629599069522fff08ccc9f,4113
9de4b8cc91e8eddb,d4765edab864eedecf0b440dc94a6037,500000
289f0bf53508b94c,01dd1720dd61e83c7d8fe8460ae820b2,17072
5b4f0cf890813597,d14e99f0d864ebd258d4cf15ebb96c2f,6266
ef8ded9503707aa5,edd26415d99293c8f835d5c7498caab2,2821
045a10efddf79945,d10ef275df6f3cb9dde7bb5e36ad181a,378677
750353c4389f986e,ad19fe2c9f8bf027923812859a152c4d,2389
8fe618c16549be9e,cdd8250bb38a7802517e328f86353814,8832
3649dcc82ac3735d,fc0b78f726267e598780d624cb63fc91,4631
01c99fc3a7d31e8c,4af1e6af9a1ec1adcc97ee2ebe4bd049,7180
f14fd03a504935d8,57cd90b251caf07ce42de3dffbe992cd,8135
a2a4981676f72369,1f10506a3cf52681a06496aa9e37cd90,1212
94a34860cd099d2e,c9749147d61438e732d402a3c11589dc,993
7c4df439061f5d6a,f104c5553f4df4b1bc9d21a5fb7dee2c,7776
e215bfaaf7b9e9a1,3ed7d28229742a81a644e03c61990b97,6460
f2e100454bc6dc81,e4460a16f31f3f61581c6352cc8d9784,4500
e1b9851714583aaa,faad2547ec7f539fb91bf3feb2bfae72,3912
564a79c6e9f2c216,a426abfdb029a901f2aa7c21dd8f9d6c,1340
2ae152add6a1ee68,4726ad13bbec4576342e6fdeda8b00b2,5968
dfee71ed38738add,c4ca480a7fb19f9ca1058d89246ef8b8,980
cc0ac877a4e2ff34,f483881cdf0e41a12c143f3ff7ea2913,4037
fce854474a860a15,00f7cf6be0f3abe33e6d6e86436bdda8,32216
464e1a02163247d4,5170ea8fcd5867e9a3ef47426e9d22de,4082
5601a4ee84dfcdde,1c5feff9a2efb5c390010ca68bae55f4,11890
cdc1fa7663e6d62e,781451fda4a886bfed3a228cdd216533,8573
5665916a17d92256,60eb148e37d3b8bab218f4ac0f804b4a,7168
2552741175b69867,dff572f35e73ae26c5cf6b0e599c7f8a,749
34dcd6674eb17471,a14d613b49ed337c73ee1ed39313821d,7999
7e96bc802783dd96,24dc020b622976a96e15a864576e5982,3909
9240dc3357e6da85,dc1464321e56332212c9a65afd7034cd,2319
